Plant_ID,phase,Coal Plant/Lignite power plants,Generation_Capacity,  MW (demand),Cost
Heyeden 4_Solar,1,Heyeden 4,1670,875,95.5
Heyeden 4_Solar,2,Heyeden 4,3340,875,95.5
Heyeden 4_Solar,3,Heyeden 4,1670,875,95.5
Lage Generator 2_Solar,1,Lage Generator 2,15.7,4.08,95.5
Lage Generator 2_Solar,2,Lage Generator 2,15.7,4.08,95.5
Bergkamen A_Solar,1,Bergkamen A,1380,720,95.5
Bergkamen A_Solar,2,Bergkamen A,2760,720,95.5
Bergkamen A_Solar,3,Bergkamen A,1380,720,95.5
SSW-VT_Solar,1,SSW-VT,23.6,6.14,95.5
SSW-VT_Solar,2,SSW-VT,23.6,6.14,95.5
BVI-NT_Solar,1,BVI-NT,22.3,5.79,95.5
BVI-NT_Solar,2,BVI-NT,22.2,5.79,95.5
SSW-NT_Solar,1,SSW-NT,23.6,6.14,95.5
SSW-NT_Solar,2,SSW-NT,23.6,6.14,95.5
 Trianel Kohlekraftwerk Lünen_Solar,1, Trianel Kohlekraftwerk Lünen,"1,425",746,95.5
 Trianel Kohlekraftwerk Lünen_Solar,2, Trianel Kohlekraftwerk Lünen,"2,850",746,95.5
 Trianel Kohlekraftwerk Lünen_Solar,3, Trianel Kohlekraftwerk Lünen,"1,425",746,95.5
Datteln 4_Solar,1,Datteln 4,"2,010",1052,95.5
Datteln 4_Solar,2,Datteln 4,"4,020",1052,95.5
Datteln 4_Solar,3,Datteln 4,"2,010",1052,95.5
Herne 4_Solar,1,Herne 4,885,460,95.5
Herne 4_Solar,2,Herne 4,"1,770",460,95.5
Herne 4_Solar,3,Herne 4,885,460,95.5
Scholven B_Solar,1,Scholven B,885,460,95.5
Scholven B_Solar,2,Scholven B,"1,770",460,95.5
Scholven B_Solar,3,Scholven B,885,460,95.5
Scholven C_Solar,1,Scholven C,660,345,95.5
Scholven C_Solar,2,Scholven C,"1,320",345,95.5
Scholven C_Solar,3,Scholven C,660,345,95.5
Walsum 10_Solar,1,Walsum 10,"1,395",725,95.5
Walsum 10_Solar,2,Walsum 10,"2,790",725,95.5
Walsum 10_Solar,3,Walsum 10,"1,395",725,95.5
Solvay Rb TA7_Solar,1,Solvay Rb TA7,49,12.8,95.5
Solvay Rb TA7_Solar,2,Solvay Rb TA7,49,12.8,95.5
Solvay Rb TA8_Solar,1,Solvay Rb TA8,61,15.94,95.5
Solvay Rb TA8_Solar,2,Solvay Rb TA8,61,15.94,95.5
Solvay Rb TA 9_Solar,1,Solvay Rb TA 9,104,27.2,95.5
Solvay Rb TA 9_Solar,2,Solvay Rb TA 9,104,27.2,95.5
Solvay Rb TA 10 _Solar,1,Solvay Rb TA 10 ,104,27.2,95.5
Solvay Rb TA 10 _Solar,2,Solvay Rb TA 10 ,104,27.2,95.5
UER N230 VST2_Solar,1,UER N230 VST2,31.5,8.2,95.5
UER N230 VST2_Solar,2,UER N230 VST2,31.5,8.2,95.5
UER L57 M1_Solar,1,UER L57 M1,65.7,17.1,95.5
UER L57 M1_Solar,2,UER L57 M1,65.7,17.1,95.5
UER L57 M3_Solar,1,UER L57 M3,27.8,7.23,95.5
UER L57 M3_Solar,2,UER L57 M3,27.8,7.23,95.5
UER N230 NST2_Solar,1,UER N230 NST2,58.5,15.2,95.5
UER N230 NST2_Solar,2,UER N230 NST2,58.5,15.2,95.5
UER N230 VST1_Solar,1,UER N230 VST1,25,6.5,95.5
