Coal Plant/Lignite power plants,Installed power  MW,phase,Coal MW replaced( demand),Solar MW(generation capacity),Wind MW(generation capacity),Panels needed,Turbines Needed,Solar PV (€/MWh),Wind (€/MWh),Annual Output (MWh),Total Solar cost of allocating demand node j to facility i in period t (in €),Total Wind cost of allocating demand node j to facility i in period t (in €)
Trianel Kohlekraftwerk Lünen,746,1,186.5,1425,622,3600000,207,182.5,155,1633740,596315100,506459400
Trianel Kohlekraftwerk Lünen,746,2,373,2850,1244,7100000,415,160,139,3267480,1045593600,908359440
Trianel Kohlekraftwerk Lünen,746,3,186.5,1425,622,3600000,207,135.5,116.5,1633740,442743540,380661420
BVI-NT,5.79,1,2.9,22.3,10.35,55750,4,182.5,155,25404,9272460,7875240
BVI-NT,5.79,2,2.89,22.2,10.35,55500,4,160,139,25316.4,8101248,7037959.2
BVI-NT,5.79,3,0,0,0,0,0,135.5,116.5,0,0,0
Bergkamen A,720,1,180,1380,640,3500000,215,182.5,155,1576800,575532000,488808000
Bergkamen A,720,2,360,2760,1280,7000000,430,160,139,3153600,1009152000,876700800
Bergkamen A,720,3,180,1380,640,3500000,215,135.5,116.5,1576800,427312800,367394400
Block 6 Merkenich RheinEnergie,75.3,1,37.65,287.6,133.8,719000,9,182.5,155,329814,120382110,102242340
Block 6 Merkenich RheinEnergie,75.3,2,37.65,287.6,133.8,719000,9,160,139,329814,105540480,91688292
Block 6 Merkenich RheinEnergie,75.3,3,0,0,0,0,0,135.5,116.5,0,0,0
Datteln 4,1052,1,263,2010,941,5000000,314,182.5,155,2303880,840916200,714202800
Datteln 4,1052,2,526,4020,1882,10000000,628,160,139,4607760,1474483200,1280957280
Datteln 4,1052,3,263,2010,941,5000000,314,135.5,116.5,2303880,624351480,536804040
Fab Berrenrath,98,1,49,375,174,950000,11,182.5,155,429240,156672600,133064400
Fab Berrenrath,98,2,49,375,174,950000,11,160,139,429240,137356800,119328720
Fab Berrenrath,98,3,0,0,0,0,0,135.5,116.5,0,0,0
Fab Fortuna,15,1,7.5,57.3,26.4,143000,2,182.5,155,65700,23980500,20367000
Fab Fortuna,15,2,7.5,57.3,26.4,143000,2,160,139,65700,21024000,18264600
Fab Fortuna,15,3,0,0,0,0,0,135.5,116.5,0,0,0
Fab Frechen,56,1,28,214,99,540000,6,182.5,155,245280,89527200,76036800
Fab Frechen,56,2,28,214,99,540000,6,160,139,245280,78489600,68187840
Fab Frechen,56,3,0,0,0,0,0,135.5,116.5,0,0,0
GoWerk F,63,1,31.5,241,112,610000,7,182.5,155,275940,100718100,85541400
GoWerk F,63,2,31.5,241,112,610000,7,160,139,275940,88300800,76711320
GoWerk F,63,3,0,0,0,0,0,135.5,116.5,0,0,0
Herne 4,460,1,115,885,410,2200000,137,182.5,155,1007400,367701000,312294000
Herne 4,460,2,230,1770,820,4400000,273,160,139,2014800,644736000,560114400
Herne 4,460,3,115,885,410,2200000,137,135.5,116.5,1007400,273005400,234724200
Heyeden 4,875,1,218,1670,780,4200000,260,182.5,155,1909680,697033200,592000800
Heyeden 4,875,2,437,3340,1560,8400000,520,160,139,3828120,1224998400,1064217360
Heyeden 4,875,3,218,1670,780,4200000,260,135.5,116.5,1909680,517523280,444955440
KWK Generator 2,9.9,1,4.95,37.8,17.5,94500,1,182.5,155,43362,15827130,13442220
