Coal Plant/Lignite power plants,Installed power  MW,phase,Coal MW replaced( demand),Solar MW(generation capacity),Wind MW(generation capacity),Panels needed,Turbines Needed,Solar PV (€/MWh),Wind (€/MWh)
 Trianel Kohlekraftwerk Lünen,746.0,1,186.5,1425.0,622.0,3600000.0,207.0,182.5,155.0
 Trianel Kohlekraftwerk Lünen,746.0,2,373.0,2850.0,1244.0,7100000.0,415.0,160.0,139.0
 Trianel Kohlekraftwerk Lünen,746.0,3,186.5,1425.0,622.0,3600000.0,207.0,135.5,116.5
BVI-NT,5.79,1,2.9,22.3,10.35,55750.0,4.0,182.5,155.0
BVI-NT,5.79,2,2.89,22.2,10.35,55500.0,4.0,160.0,139.0
BVI-NT,5.79,3,0.0,0.0,0.0,0.0,0.0,135.5,116.5
Bergkamen A,720.0,1,180.0,1380.0,640.0,3500000.0,215.0,182.5,155.0
Bergkamen A,720.0,2,360.0,2760.0,1280.0,7000000.0,430.0,160.0,139.0
Bergkamen A,720.0,3,180.0,1380.0,640.0,3500000.0,215.0,135.5,116.5
Block 6 Merkenich RheinEnergie,75.3,1,37.65,287.6,133.8,719000.0,9.0,182.5,155.0
Block 6 Merkenich RheinEnergie,75.3,2,37.65,287.6,133.8,719000.0,9.0,160.0,139.0
Block 6 Merkenich RheinEnergie,75.3,3,0.0,0.0,0.0,0.0,0.0,135.5,116.5
Datteln 4,1052.0,1,263.0,2010.0,941.0,5000000.0,314.0,182.5,155.0
Datteln 4,1052.0,2,526.0,4020.0,1882.0,10000000.0,628.0,160.0,139.0
Datteln 4,1052.0,3,263.0,2010.0,941.0,5000000.0,314.0,135.5,116.5
Fab Berrenrath,98.0,1,49.0,375.0,174.0,950000.0,11.0,182.5,155.0
Fab Berrenrath,98.0,2,49.0,375.0,174.0,950000.0,11.0,160.0,139.0
Fab Berrenrath,98.0,3,0.0,0.0,0.0,0.0,0.0,135.5,116.5
Fab Fortuna,15.0,1,7.5,57.3,26.4,143000.0,2.0,182.5,155.0
Fab Fortuna,15.0,2,7.5,57.3,26.4,143000.0,2.0,160.0,139.0
Fab Fortuna,15.0,3,0.0,0.0,0.0,0.0,0.0,135.5,116.5
Fab Frechen,56.0,1,28.0,214.0,99.0,540000.0,6.0,182.5,155.0
Fab Frechen,56.0,2,28.0,214.0,99.0,540000.0,6.0,160.0,139.0
Fab Frechen,56.0,3,0.0,0.0,0.0,0.0,0.0,135.5,116.5
GoWerk F,63.0,1,31.5,241.0,112.0,610000.0,7.0,182.5,155.0
